Meetup NNP B-DATASET
EBSN NNP I-DATASET
. . OTHER

To TO OTHER
understand VB OTHER
the DT OTHER
basic JJ OTHER
network NN OTHER
properties NNS OTHER
of IN OTHER
the DT OTHER
Meetup NNP B-DATASET
EBSN NNP I-DATASET
, , OTHER
we PRP OTHER
need VBP OTHER
to TO OTHER
ﬁrst JJ OTHER
study NN OTHER
the DT OTHER
event NN OTHER
participation NN OTHER
and CC OTHER
group NN OTHER
membership NN OTHER
in IN OTHER
Meetup NNP B-DATASET
. . OTHER

This DT OTHER
implies VBZ OTHER
that IN OTHER
the DT OTHER
online NN OTHER
social JJ OTHER
network NN OTHER
and CC OTHER
the DT OTHER
oﬄine JJ OTHER
social JJ OTHER
network NN OTHER
work NN OTHER
together RB OTHER
synergistically RB OTHER
in IN OTHER
the DT OTHER
Meetup NNP B-DATASET
EBSN NNP I-DATASET
– NNP OTHER
each DT OTHER
have VBP OTHER
a DT OTHER
positive JJ OTHER
eﬀect JJ OTHER
on IN OTHER
the DT OTHER
other JJ OTHER
. . OTHER

As IN OTHER
shown VBN OTHER
in IN OTHER
Figure NNP OTHER
#number# NNP OTHER
, , OTHER
the DT OTHER
communities NNS OTHER
for IN OTHER
the DT OTHER
Meetup NNP B-DATASET
EBSN NNP I-DATASET
are VBP OTHER
more JJR OTHER
cohesive JJ OTHER
than IN OTHER
those DT OTHER
for IN OTHER
Gowalla NNP B-DATASET
LBSN NNP I-DATASET
. . OTHER

One CD OTHER
interesting JJ OTHER
ﬁnding JJ OTHER
is VBZ OTHER
that IN OTHER
users NNS OTHER
in IN OTHER
online NN OTHER
Meetup NNP B-DATASET
EBSN NNP I-DATASET
communities VBZ OTHER
are VBP OTHER
more JJR OTHER
cohesive JJ OTHER
than IN OTHER
users NNS OTHER
in IN OTHER
oﬄine JJ OTHER
Meetup NNP B-DATASET
EBSN NNP I-DATASET
communities VBZ OTHER
( : OTHER
by IN OTHER
#number# JJ OTHER
) NN OTHER
, , OTHER
indicating VBG OTHER
that IN OTHER
users NNS OTHER
tend VBP OTHER
to TO OTHER
have VB OTHER
more JJR OTHER
similar JJ OTHER
interests NNS OTHER
if IN OTHER
they PRP OTHER
belong VBP OTHER
to TO OTHER
same VB OTHER
groups NNS OTHER
, , OTHER
compared VBN OTHER
to TO OTHER
those DT OTHER
who WP OTHER
participated VBN OTHER
similar JJ OTHER
events NNS OTHER
. . OTHER

We PRP OTHER
used VBD OTHER
following VBG OTHER
three CD OTHER
public JJ OTHER
datasets NNS OTHER
for IN OTHER
the DT OTHER
experiments NNS OTHER
: : OTHER
• : OTHER
Social3 NNP OTHER
: : OTHER
This DT OTHER
is VBZ OTHER
a DT OTHER
graph NN OTHER
taken VBN OTHER
from IN OTHER
Slashdot.org4 -NONE- OTHER
. . OTHER

• NN OTHER
Routing5 NNP OTHER
: : OTHER
We PRP OTHER
used VBD OTHER
routing VBG OTHER
information NN OTHER
of IN OTHER
the DT OTHER
Internet NNP OTHER
. . OTHER

• NN OTHER
Web7 NNP OTHER
: : OTHER
This DT OTHER
dataset NN OTHER
was VBD OTHER
taken VBN OTHER
from IN OTHER
web NN OTHER
pages NNS OTHER
in IN OTHER
University NNP OTHER
of IN OTHER
Notre NNP OTHER
Dame8 NNP OTHER
. . OTHER

Figure NN OTHER
#number# NN OTHER
shows VBZ OTHER
the DT OTHER
precision NN OTHER
with IN OTHER
the DT OTHER
various JJ OTHER
numbers NNS OTHER
of IN OTHER
hub NN OTHER
nodes NNS OTHER
for IN OTHER
Social JJ B-DATASET
dataset NN OTHER
in IN OTHER
ﬁnding JJ OTHER
the DT OTHER
top JJ OTHER
ten NN OTHER
nodes VBZ OTHER
. . OTHER

The DT OTHER
example NN OTHER
refers NNS OTHER
to TO OTHER
the DT OTHER
intermediate JJ OTHER
data NNS OTHER
size VBP OTHER
for IN OTHER
NELL-1 -NONE- B-DATASET
dataset NN OTHER
of IN OTHER
Table NNP OTHER
#number# NNP OTHER
, , OTHER
for IN OTHER
#number# JJ OTHER
bytes NNS OTHER
per IN OTHER
value NN OTHER
and CC OTHER
R NNP OTHER
= NNP OTHER
#number# NNP OTHER
. . OTHER

• NN OTHER
NELL NNP B-DATASET
: : OTHER
real JJ OTHER
world NN OTHER
knowledge NN OTHER
base NN OTHER
data NNS OTHER
containing VBG OTHER
( : OTHER
noun NN OTHER
phrase NN OTHER
#number# NN OTHER
, , OTHER
context NN OTHER
, , OTHER
noun NN OTHER
phrase NN OTHER
#number# NN OTHER
) : OTHER
triples NNS OTHER
( VBP OTHER
e.g JJ OTHER
. . OTHER

NELL-1 -NONE- B-DATASET
data NNS OTHER
is VBZ OTHER
the DT OTHER
full JJ OTHER
data NNS OTHER
, , OTHER
and CC OTHER
NELL-2 -NONE- B-DATASET
data NNS OTHER
is VBZ OTHER
the DT OTHER
ﬁltered JJ OTHER
data NNS OTHER
from IN OTHER
NELL-1 -NONE- B-DATASET
by IN OTHER
removing NN OTHER
entries NNS OTHER
whose WP$ OTHER
values NNS OTHER
are VBP OTHER
below IN OTHER
a DT OTHER
threshold NN OTHER
. . OTHER

• NN OTHER
Random NNP B-DATASET
: : OTHER
synthetic JJ OTHER
random NN OTHER
tensor NN OTHER
of IN OTHER
size NN OTHER
I PRP OTHER
× VBP OTHER
I PRP OTHER
× VBP OTHER
I PRP OTHER
. . OTHER

In IN OTHER
this DT OTHER
section NN OTHER
, , OTHER
we PRP OTHER
present VBP OTHER
discoveries NNS OTHER
on IN OTHER
the DT OTHER
NELL NNP B-DATASET
dataset NN OTHER
that WDT OTHER
was VBD OTHER
previously RB OTHER
introduced VBN OTHER
; : OTHER
we PRP OTHER
are VBP OTHER
mostly RB OTHER
interested JJ OTHER
in IN OTHER
demonstrating NN OTHER
the DT OTHER
power NN OTHER
of IN OTHER
our PRP$ OTHER
approach NN OTHER
, , OTHER
as IN OTHER
opposed VBN OTHER
to TO OTHER
the DT OTHER
current JJ OTHER
state NN OTHER
of IN OTHER
the DT OTHER
art NN OTHER
which WDT OTHER
was VBD OTHER
unable JJ OTHER
to TO OTHER
handle VB OTHER
a DT OTHER
dataset NN OTHER
of IN OTHER
this DT OTHER
magnitude NN OTHER
. . OTHER

NELL-2 -NONE- B-DATASET
dataset VBD OTHER
in IN OTHER
R NNP OTHER
= NNP OTHER
#number# NNP OTHER
components NNS OTHER
, , OTHER
and CC OTHER
obtained VBD OTHER
λi NNP OTHER
, , OTHER
A DT OTHER
, , OTHER
B NNP OTHER
, , OTHER
C NNP OTHER
 NNP OTHER
. . OTHER

rest NN OTHER
part NN OTHER
years NNS OTHER
life NN OTHER
family NN OTHER
body NN OTHER
‘np2’ NN OTHER
‘of’ NN OTHER
‘my’ NN OTHER
‘np1’ NN OTHER
‘np2’ NN OTHER
‘of’ NN OTHER
‘his’ NN OTHER
‘np1’ NN OTHER
‘np2’ NN OTHER
‘of’ NN OTHER
‘her’ NN OTHER
‘np1’ NN OTHER
Table NNP OTHER
#number# NNP OTHER
: : OTHER
Four CD OTHER
notable JJ OTHER
groups NNS OTHER
that WDT OTHER
emerge NN OTHER
from IN OTHER
analyzing VBG OTHER
the DT OTHER
NELL NNP B-DATASET
dataset NN OTHER
. . OTHER

In IN OTHER
Table NNP OTHER
#number# NNP OTHER
, , OTHER
which WDT OTHER
is VBZ OTHER
located VBN OTHER
in IN OTHER
Section NN OTHER
#number# NN OTHER
, , OTHER
we PRP OTHER
show VBP OTHER
some DT OTHER
exemplary JJ OTHER
synonyms NNS OTHER
for IN OTHER
position NN OTHER
np1 NNP OTHER
that IN OTHER
were VBD OTHER
discovered VBN OTHER
by IN OTHER
this DT OTHER
approach NN OTHER
on IN OTHER
NELL-1 -NONE- B-DATASET
dataset NN OTHER
. . OTHER

#itemlist# NN OTHER
mushroom NN B-DATASET
, , OTHER
min NN OTHER
sup=0.001 -NONE- OTHER
#itemlist# -NONE- OTHER
pumsb VB B-DATASET
, , OTHER
min NN OTHER
sup=0.7 -NONE- OTHER
#itemlist# -NONE- OTHER
pumsb VB B-DATASET
star NN OTHER
, , OTHER
min NN OTHER
sup=0.2 -NONE- OTHER
Figure NNP OTHER
#number# NNP OTHER
: : OTHER
Running NNP OTHER
time NN OTHER
when WRB OTHER
varying VBG OTHER
ǫ : OTHER
of IN OTHER
Algorithm NNP OTHER
#number# NNP OTHER
. . OTHER

On IN OTHER
dataset VBN OTHER
pumsb NN B-DATASET
, , OTHER
the DT OTHER
early JJ OTHER
termination NN OTHER
technique NN OTHER
achieves NNS OTHER
the DT OTHER
lowest JJS OTHER
reduction NN OTHER
in IN OTHER
running NN OTHER
time NN OTHER
. . OTHER

This DT OTHER
is VBZ OTHER
one CD OTHER
reason NN OTHER
why WRB OTHER
MinRPset NNP OTHER
is VBZ OTHER
more JJR OTHER
than IN OTHER
#number# JJ OTHER
times NNS OTHER
slower JJR OTHER
than IN OTHER
RPlocal NNP OTHER
on IN OTHER
pumsb NN B-DATASET
. . OTHER

dataset NN OTHER
accidents NNS B-DATASET
